GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
132	rs1351394	12	66338202	rs17101923	2013-11-15	23704328	Fatemifar G	2013-05-23	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/23704328	Genome-wide association study of primary tooth eruption identifies pleiotropic loci associated with height and craniofacial distances.	Primary tooth development (number of teeth)	11,513 European ancestry individuals		12q14.3	HMGA2	HMGA2			8091			rs17101923-G	rs17101923	0	17101923	intron_variant	0	NR	1E-10	10.0		0.182	[0.13-0.24] unit increase	Illumina [2446724] (imputed)	N
132	rs1351394	12	66338202	rs17101923	2013-11-15	23704328	Fatemifar G	2013-05-23	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/23704328	Genome-wide association study of primary tooth eruption identifies pleiotropic loci associated with height and craniofacial distances.	Primary tooth development (time to first tooth eruption)	11,118 European ancestry individuals		12q14.3	HMGA2	HMGA2			8091			rs17101923-G	rs17101923	0	17101923	intron_variant	0	NR	6E-11	10.221848749616356		0.212	[0.15-0.28] unit decrease	Illumina [2446724] (imputed)	N
132	rs1351394	12	66343810	rs10784502	2012-06-21	22504417	Stein JL	2012-04-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22504417	Identification of common variants associated with human hippocampal and intracranial volumes.	Brain structure	2,020 European ancestry neuropsychiatric disorder cases, 5,775 European ancestry controls	599 European ancestry neuropsychiatric disorder cases, 11,915 European ancestry controls, 143 European ancestry and African American neuropsychiatric disorder cases, 94 European ancestry and African American controls, 605 Hispanic controls	12q14.3	HMGA2	HMGA2			8091			rs10784502-C	rs10784502	0	10784502	intron_variant	0	0.49	1E-12	12.0	(Intracranial volume)	9006.71	[6525.78-11487.64] mm3 increase	Affymetrix, Illumina [NR] (imputed)	N
132	rs1351394	12	66351826	rs1351394	2012-10-24	20881960	Lango Allen H	2010-09-29	Nature	www.ncbi.nlm.nih.gov/pubmed/20881960	Hundreds of variants clustered in genomic loci and biological pathways affect human height.	Height	133,653 European ancestry individuals	50,074 European ancestry individuals	12q14.3	HMGA2	HMGA2			8091			rs1351394-T	rs1351394	0	1351394	3_prime_UTR_variant	0	0.49	2E-65	64.69897000433602		0.06	[NR] unit increase	Affymetrix, Illumina [2834208] (imputed)	N
132	rs1351394	12	66351826	rs1351394	2013-09-12	23563607	Berndt SI	2013-04-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23563607	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	Height	8,097 European ancestry tall individuals, 8,099 European ancestry short individuals	4,872 European ancestry tall individuals, 4,831 European ancestry short individuals	12q14.3	HMGA2	HMGA2			8091			rs1351394-T	rs1351394	0	1351394	3_prime_UTR_variant	0	0.49	7E-32	31.154901959985743		1.26	[NR]	Affymetrix, Illumina [~ 2800000] (imputed)	N
132	rs1351394	12	66351826	rs1351394	2015-07-07	25281659	van der Valk RJ	2014-10-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25281659	A novel common variant in DCST2 is associated with length in early life and height in adulthood.	Birth length	28,459 European ancestry individuals	16,145 European ancestry individuals, 280 Moroccan ancestry individuals, 284 Surinamese ancestry individuals, 319 Turkish ancestry individuals, 651 Chinese ancestry individuals	12q14.3	HMGA2	HMGA2			8091			rs1351394-T	rs1351394	0	1351394	3_prime_UTR_variant	0	0.498	7E-7	6.154901959985743		0.044	[0.026-0.062] unit increase	Affymetrix, Illumina [2201971] (imputed)	N
132	rs1351394	12	66351826	rs1351394	2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Hip circumference	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	12q14.3	HMGA2	HMGA2			8091			rs1351394-T	rs1351394	0	1351394	3_prime_UTR_variant	0	0.4952	4E-8	7.3979400086720375	(EA, men)	0.0267	[0.017-0.036] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
132	rs1351394	12	66351826	rs1351394	2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Hip circumference	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	12q14.3	HMGA2	HMGA2			8091			rs1351394-T	rs1351394	0	1351394	3_prime_UTR_variant	0	0.4952	6E-11	10.221848749616356	(EA)	0.0229	[0.016-0.03] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
132	rs1351394	12	66351826	rs1351394	2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Hip circumference adjusted for BMI	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	12q14.3	HMGA2	HMGA2			8091			rs1351394-T	rs1351394	0	1351394	3_prime_UTR_variant	0	0.4952	2E-8	7.698970004336019	(EA,men)	0.0281	[0.018-0.038] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
132	rs1351394	12	66351826	rs1351394	2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Hip circumference adjusted for BMI	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	12q14.3	HMGA2	HMGA2			8091			rs1351394-T	rs1351394	0	1351394	3_prime_UTR_variant	0	0.4952	5E-13	12.301029995663981	(EA)	0.0253	[0.018-0.032] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
132	rs1351394	12	66351826	rs1351394	2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Hip circumference adjusted for BMI	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	12q14.3	HMGA2	HMGA2			8091			rs1351394-T	rs1351394	0	1351394	3_prime_UTR_variant	0	0.4952	8E-7	6.096910013008056	(EA, women)	0.0222	[0.013-0.031] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
132	rs1351394	12	66351826	rs1351394	2018-01-15	27680694	Horikoshi M	2016-10-13	Nature	www.ncbi.nlm.nih.gov/pubmed/27680694	Genome-wide associations for birth weight and correlations with adult disease.	Birth weight	133,903 European ancestry individuals, 6,635 African American individuals, 420 Turkish ancestry individuals, 365 Moroccan ancestry individuals, 395 Surinamese ancestry individuals, 840 Chinese ancestry individuals.	9,799 European ancestry individuals, 1,449 Filipino ancestry individuals.	12q14.3	HMGA2	HMGA2			8091			rs1351394-T	rs1351394	0	1351394	3_prime_UTR_variant	0	0.48	2E-33	32.69897000433602		0.043	[0.036-0.05] unit increase	Affymetrix, Illumina [at least 22434434] (imputed)	N
132	rs1351394	12	66358347	rs1042725	2008-09-12	18391950	Lettre G	2008-04-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18391950	Identification of ten loci associated with height highlights new biological pathways in human growth.	Height	15,821 European ancestry individuals	Up to 17,801 European ancestry individuals	12q14.3	HMGA2	HMGA2			8091			rs1042725-T	rs1042725	0	1042725	3_prime_UTR_variant	0	0.49	3E-20	19.522878745280337		0.48	[0.58-1.09] cm decrease	Affymetrix, Illumina [2260683] (imputed)	N
132	rs1351394	12	66358347	rs1042725	2008-09-17	18391952	Weedon MN	2008-04-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18391952	Genome-wide association analysis identifies 20 loci that influence adult height.	Height	13,665 European ancestry individuals	16,482 European ancestry individuals	12q14.3	HMGA2	HMGA2			8091			rs1042725-C	rs1042725	0	1042725	3_prime_UTR_variant	0	0.49	3E-18	17.522878745280337		0.05	[0.03-0.08] s.d. increase (males)	Affymetrix [402951]	N
132	rs1351394	12	66358347	rs1042725	2009-09-28	17767157	Weedon MN	2007-09-02	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17767157	A common variant of HMGA2 is associated with adult and childhood height in the general population.	Height	4,921 European ancestry individuals	19,064 European ancestry adult individuals, 6,827 European ancestry children	12q14.3	HMGA2	HMGA2			8091			rs1042725-C	rs1042725	0	1042725	3_prime_UTR_variant	0	0.51	6E-16	15.221848749616356		0.4	[NR] cm increase	Affymetrix [364301]	N
132	rs1351394	12	66358347	rs1042725	2012-05-25	22504419	Taal HR	2012-04-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22504419	Common variants at 12q15 and 12q24 are associated with infant head circumference.	Head circumference (infant)	10,768 European ancestry infants	8,321 European ancestry infants	12q14.3	HMGA2	HMGA2			8091			rs1042725-T	rs1042725	0	1042725	3_prime_UTR_variant	0	0.49	3E-10	9.522878745280337		0.065	[0.045-0.085] SD decrease	Affymetrix, Illumina [~ 2400000] (imputed)	N
132	rs1351394	12	66358347	rs1042725	2013-02-28	23202124	Horikoshi M	2012-12-02	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23202124	New loci associated with birth weight identify genetic links between intrauterine growth and adult height and metabolism.	Birth weight	Up to 26,836 European ancestry individuals	Up to 42,519 European ancestry individuals	12q14.3	HMGA2	HMGA2			8091			rs1042725-T	rs1042725	0	1042725	3_prime_UTR_variant	0	0.50	1E-19	19.0		0.047	[0.037-0.057] gram decrease	Affymetrix, Illumina [~ 2700000] (imputed)	N
132	rs1351394	12	66358347	rs1042725	2015-07-15	25429064	He M	2014-11-26	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25429064	Meta-analysis of genome-wide association studies of adult height in East Asians identifies 17 novel loci.	Height	36,227 East Asian ancestry individuals	57,699 East Asian ancestry individuals	12q14.3	HMGA2	HMGA2			8091			rs1042725-T	rs1042725	0	1042725	3_prime_UTR_variant	0	0.73	2E-7	6.698970004336019		0.024	[0.01-0.038] unit decrease	Affymetrix, Illumina [2704730] (imputed)	N
132	rs1351394	12	66359752	rs8756	2008-07-01	18391951	Gudbjartsson DF	2008-04-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18391951	Many sequence variants affecting diversity of adult human height.	Height	30,968 European ancestry individuals	8,541 European ancestry individuals	12q14.3	HMGA2	HMGA2			8091			rs8756-C	rs8756	0	8756	3_prime_UTR_variant	0	0.52	2E-16	15.698970004336019		6.6	[5.03-8.17] % s.d. increase	Affymetrix, Illumina [up to 304226]	N
132	rs1351394	12	66359752	rs8756	2009-04-22	19343178	Soranzo N	2009-04-03	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/19343178	Meta-analysis of genome-wide scans for human adult stature identifies novel Loci and associations with measures of skeletal frame size.	Height	12,611 European ancestry individuals	7,187 European ancestry individuals	12q14.3	HMGA2	HMGA2			8091			rs8756-?	rs8756	0	8756	3_prime_UTR_variant	0	0.17	5E-14	13.301029995663981		0.08	[0.06-0.10] s.d. decrease	Illumina [229216]	N
132	rs1351394	12	66359752	rs8756	2010-05-11	20397748	Liu JZ	2010-04-01	Twin Res Hum Genet	www.ncbi.nlm.nih.gov/pubmed/20397748	Genome-wide association study of height and body mass index in Australian twin families.	Height	11,536 European ancestry individuals	NA	12q14.3	HMGA2	HMGA2			8091			rs8756-A	rs8756	0	8756	3_prime_UTR_variant	0	0.51	4E-7	6.3979400086720375		0.07	[0.03-0.11] SD decrease	Illumina [559712] (imputed)	N
132	rs1351394	12	66359752	rs8756	2015-09-24	25282103	Wood AR	2014-10-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25282103	Defining the role of common variation in the genomic and biological architecture of adult human height.	Height	253,288 European ancestry individuals	80,067 European ancestry individuals	12q14.3	HMGA2	HMGA2			8091			rs8756-A	rs8756	0	8756	3_prime_UTR_variant	0	0.508	5E-90	89.30102999566398		0.059	[0.053-0.065] unit decrease	Affymetrix, Illumina, Perlegen [2550858] (imputed)	N
132	rs1351394	12	66360164	rs7970350	2015-07-07	25281659	van der Valk RJ	2014-10-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25281659	A novel common variant in DCST2 is associated with length in early life and height in adulthood.	Infant length	28,238 European ancestry individuals	NA	12q14.3	HMGA2	HMGA2 - MIR6074	8091	102464827		93	57236	rs7970350-T	rs7970350	0	7970350	downstream_gene_variant	1	0.49	3E-8	7.522878745280337		0.047	[0.029-0.065] unit decrease	Affymetrix, Illumina [2193675] (imputed)	N
132	rs1351394	12	66360164	rs7970350	2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist circumference adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	12q14.3	HMGA2	HMGA2 - MIR6074	8091	102464827		93	57236	rs7970350-T	rs7970350	0	7970350	downstream_gene_variant	1	0.494	4E-8	7.3979400086720375	(EA)	0.0188	[0.012-0.025] unit decrease	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
132	rs1351394	12	66360164	rs7970350	2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist circumference adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	12q14.3	HMGA2	HMGA2 - MIR6074	8091	102464827		93	57236	rs7970350-T	rs7970350	0	7970350	downstream_gene_variant	1	0.494	5E-7	6.301029995663981	(EA, men)	0.024	[0.015-0.033] unit decrease	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
132	rs1351394	12	66360164	rs7970350	2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	97,400 European ancestry women, 63,892 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	12q14.3	HMGA2	HMGA2 - MIR6074	8091	102464827		93	57236	rs7970350-T	rs7970350	0	7970350	downstream_gene_variant	1	0.497	3E-7	6.522878745280337	(men)	0.0256	[0.016-0.035] unit decrease	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
132	rs1351394	12	66360164	rs7970350	2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	97,400 European ancestry women, 63,892 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	12q14.3	HMGA2	HMGA2 - MIR6074	8091	102464827		93	57236	rs7970350-T	rs7970350	0	7970350	downstream_gene_variant	1	0.497	8E-7	6.096910013008056		0.0172	[0.01-0.024] unit decrease	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
132	rs1351394	12	66360164	rs7970350	2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	97,400 European ancestry women, 63,892 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	12q14.3	HMGA2	HMGA2 - MIR6074	8091	102464827		93	57236	rs7970350-T	rs7970350	0	7970350	downstream_gene_variant	1	0.497	2E-6	5.698970004336019				Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
132	rs1351394	12	66360164	rs7970350	2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	97,400 European ancestry women, 63,892 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	12q14.3	HMGA2	HMGA2 - MIR6074	8091	102464827		93	57236	rs7970350-T	rs7970350	0	7970350	downstream_gene_variant	1	0.497	7E-7	6.154901959985743	(men)			Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
132	rs1351394	12	66360164	rs7970350	2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI in non-smokers	77,113 European ancestry women, 47,319 European ancestry men, 4,856 European ancestry individuals, 8,799 African American/Afro-Caribbean ancestry women, 1,803 African American/Afro-Caribbean ancestry men, 1,020 Indian Asian ancestry women, 6,691 Indian Asian ancestry men, 1,526 Filipino ancestry women, 2,469 Hispanic/Latino ancestry women, 1,318 Hispanic/Latino ancestry men	16,011 European ancestry women, 17,912 European ancestry men, 105,218 European ancestry individuals, 2,073 African American/Afro-Caribbean ancestry women, 647 African American/Afro-Caribbean ancestry men	12q14.3	HMGA2	HMGA2 - MIR6074	8091	102464827		93	57236	rs7970350-T	rs7970350	0	7970350	downstream_gene_variant	1	0.497	1E-6	6.0	(men)	0.0279	[0.017-0.039] unit decrease	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
132	rs1351394	12	66360164	rs7970350	2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI in non-smokers	77,113 European ancestry women, 47,319 European ancestry men, 4,856 European ancestry individuals, 8,799 African American/Afro-Caribbean ancestry women, 1,803 African American/Afro-Caribbean ancestry men, 1,020 Indian Asian ancestry women, 6,691 Indian Asian ancestry men, 1,526 Filipino ancestry women, 2,469 Hispanic/Latino ancestry women, 1,318 Hispanic/Latino ancestry men	16,011 European ancestry women, 17,912 European ancestry men, 105,218 European ancestry individuals, 2,073 African American/Afro-Caribbean ancestry women, 647 African American/Afro-Caribbean ancestry men	12q14.3	HMGA2	HMGA2 - MIR6074	8091	102464827		93	57236	rs7970350-T	rs7970350	0	7970350	downstream_gene_variant	1	0.497	7E-6	5.154901959985743		0.0172	[0.0098-0.0246] unit decrease	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
132	rs1351394	12	66364509	rs12424086	2010-03-25	20195514	Pillas D	2010-02-26	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20195514	Genome-wide association study reveals multiple loci associated with primary tooth development during infancy.	Primary tooth development (number of teeth)	5,752 European ancestry related individuals	NA	12q14.3	HMGA2	HMGA2 - MIR6074	8091	102464827		4438	52891	rs12424086-C	rs12424086	0	12424086	downstream_gene_variant	1	0.23	4E-6	5.3979400086720375				Illumina [300766]	N
132	rs1351394	12	66364509	rs12424086	2010-03-25	20195514	Pillas D	2010-02-26	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20195514	Genome-wide association study reveals multiple loci associated with primary tooth development during infancy.	Primary tooth development (time to first tooth eruption)	5,919 European ancestry related individuals	NA	12q14.3	HMGA2	HMGA2 - MIR6074	8091	102464827		4438	52891	rs12424086-C	rs12424086	0	12424086	downstream_gene_variant	1	0.23	8E-6	5.096910013008056				Illumina [300766]	N
132	rs1351394	12	66364509	rs12424086	2011-10-04	21931568	Geller F	2011-09-08	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21931568	Genome-wide association study identifies four loci associated with eruption of permanent teeth.	Permanent tooth development	5,088 European ancestry females	2,994 European ancestry individuals, 161 individuals	12q14.3	HMGA2	HMGA2 - MIR6074	8091	102464827		4438	52891	rs12424086-C	rs12424086	0	12424086	downstream_gene_variant	1	0.18	2E-12	11.698970004336019		0.111	[0.08-0.14] unit decrease	Illumina [521741]	N
132	rs1351394	12	66371880	rs7968682	2011-11-25	22021425	Carty CL	2011-10-21	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/22021425	Genome-wide association study of body height in African Americans: the Women's Health Initiative SNP Health Association Resource (SHARe).	Height	8,149 African American female individuals	Up to 20,809 African American and African ancestry individuals	12q14.3	HMGA2	HMGA2 - MIR6074	8091	102464827		11809	45520	rs7968682-T	rs7968682	0	7968682	intergenic_variant	1	0.58	4E-10	9.397940008672037		0.043	[0.025-0.061] unit decrease	Affymetrix [855034]	N
132	rs1351394	12	66374247	rs7312464	2017-07-01	28135244	Warren HR	2017-01-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28135244	Genome-wide association analysis identifies novel blood pressure loci and offers biological insights into cardiovascular risk.	Pulse pressure	140,886 European ancestry individuals	190,318 European ancestry individuals	12q14.3	chr12mb66	HMGA2 - MIR6074	8091	102464827		14176	43153	rs7312464-G	rs7312464	0	7312464	intergenic_variant	1	0.51912487	5E-10	9.301029995663981		0.2104	[0.14-0.28] unit increase	Affymetrix [~ 9800000] (imputed)	N
132	rs1351394	12	66389968	rs10400419	2014-02-25	24144296	Cheng CY	2013-08-08	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/24144296	Nine loci for ocular axial length identified through genome-wide association studies, including shared loci with refractive error.	Axial length	12,531 European ancestry individuals	8,216 Asian ancestry individuals	12q14.3	HMGA2	HMGA2 - MIR6074	8091	102464827		29897	27432	rs10400419-T	rs10400419	0	10400419	intergenic_variant	1	0.3837	2E-7	6.698970004336019		0.0562	[0.035-0.078] unit increase	Illumina [2500000] (imputed)	N
132	rs7979034	12	66394664	rs4026608	2009-08-07	19584346	Vasan RS	2009-07-08	JAMA	www.ncbi.nlm.nih.gov/pubmed/19584346	Genetic variants associated with cardiac structure and function: a meta-analysis and replication of genome-wide association data.	Aortic root size	12,612 European ancestry individuals	4,094 European ancestry individuals	12q14.3	HMGA2	HMGA2 - MIR6074	8091	102464827		34593	22736	rs4026608-C	rs4026608	0	4026608	intergenic_variant	1	0.38	2E-9	8.698970004336019		0.03	[0.02-0.04] cm decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
132	rs7979034	12	66397166	rs141753469	2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Chin dimples	58,032 European ancestry cases, 13,457 European ancestry controls	NA	12q14.3	HMGA2, LLPH	HMGA2 - MIR6074	8091	102464827		37095	20234	rs141753469-?	rs141753469	0	141753469	intergenic_variant	1	NR	6E-9	8.221848749616356		1.111	[1.072-1.151]	Illumina [13537761] (imputed)	N
133	rs150310788	12	78918441	rs11110253	2017-09-05	28632202	Witt SH	2017-06-20	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/28632202	Genome-wide association study of borderline personality disorder reveals genetic overlap with bipolar disorder, major depression and schizophrenia.	Borderline personality disorder	998 European ancestry cases, 1,545 European ancestry controls	NA	12q21.2	RP11-171L9.1	MRPL11P3 - LOC642550	359734	642550		51238	268863	rs11110253-A	rs11110253	0	11110253	intron_variant	1	0.8255	4E-6	5.3979400086720375		1.5641	[1.37-1.75]	Illumina [10736316] (imputed)	N
134	rs10859343	12	92987208	rs11829373	2014-03-09	24024966	Teumer A	2013-08-14	J Clin Periodontol	www.ncbi.nlm.nih.gov/pubmed/24024966	Genome-wide association study of chronic periodontitis in a general German population.	Periodontitis (Mean PAL)	up to 4,032 European ancestry individuals	NA	12q22	C12orf74	LOC105369905			105369905			rs11829373-C	rs11829373	0	11829373	regulatory_region_variant	0	0.1	7E-6	5.154901959985743	(Age 20-60 years)	0.08	[0.045-0.115] unit increase	Affymetrix, Illumina [up to 17585496] (imputed)	N
